✨1.1.2026, 17:02:22✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 17:02:53✨ | GET /current | Status: 200 | 10ms
✨1.1.2026, 17:02:53✨ | GET /new-customers?months=7 | Status: 200 | 8ms
✨1.1.2026, 17:02:53✨ | GET /stats | Status: 200 | 15ms
✨1.1.2026, 17:02:53✨ | GET /new-customers?months=7 | Status: 200 | 8ms
✨1.1.2026, 17:02:53✨ | GET /current | Status: 200 | 6ms
✨1.1.2026, 17:02:53✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 17:02:54✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 17:02:54✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 17:03:05✨ | GET /current | Status: 200 | 17ms
✨1.1.2026, 17:03:05✨ | GET /new-customers?months=7 | Status: 200 | 13ms
✨1.1.2026, 17:03:05✨ | GET /stats | Status: 200 | 40ms
✨1.1.2026, 17:03:05✨ | GET /current | Status: 200 | 14ms
✨1.1.2026, 17:03:05✨ | GET /new-customers?months=7 | Status: 200 | 8ms
✨1.1.2026, 17:03:05✨ | GET /stats | Status: 200 | 21ms
✨1.1.2026, 17:03:06✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 17:03:06✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 17:03:32✨ | GET /current | Status: 200 | 7ms
✨1.1.2026, 17:03:32✨ | GET /new-customers?months=7 | Status: 200 | 9ms
✨1.1.2026, 17:03:32✨ | GET /stats | Status: 200 | 19ms
✨1.1.2026, 17:03:33✨ | GET /current | Status: 200 | 13ms
✨1.1.2026, 17:03:33✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 17:03:33✨ | GET /stats | Status: 200 | 20ms
✨1.1.2026, 17:03:33✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 17:08:35✨ | POST /login | Status: 200 | 150ms
✨1.1.2026, 17:08:42✨ | GET /new-customers?months=7 | Status: 200 | 71ms
✨1.1.2026, 17:08:42✨ | GET /me | Status: 200 | 79ms
✨1.1.2026, 17:08:42✨ | GET /me | Status: 200 | 81ms
✨1.1.2026, 17:08:42✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 17:08:42✨ | GET /stats | Status: 200 | 93ms
✨1.1.2026, 17:08:49✨ | GET /me | Status: 200 | 24ms
✨1.1.2026, 17:08:49✨ | GET /me | Status: 200 | 25ms
✨1.1.2026, 17:08:49✨ | GET /new-customers?months=7 | Status: 200 | 20ms
✨1.1.2026, 17:08:49✨ | GET /me | Status: 200 | 25ms
✨1.1.2026, 17:08:49✨ | GET /me | Status: 200 | 26ms
